res_70.txt
CS: 平均测试周期数 = 6595.69, 平均测试吞吐量 = 0.31, 平均测试吞吐量 = 2748.21
SlidingSketch: 平均测试周期数 = 10110.62, 平均测试吞吐量 = 0.19, 平均测试吞吐量 = 4212.76
UnivMon: 平均测试周期数 = 9803.38, 平均测试吞吐量 = 0.20, 平均测试吞吐量 = 4084.74
elastic: 平均测试周期数 = 2618.12, 平均测试吞吐量 = 1.11, 平均测试吞吐量 = 1090.89
flowradar: 平均测试周期数 = 5173.50, 平均测试吞吐量 = 0.41, 平均测试吞吐量 = 2155.62
mvsketch: 平均测试周期数 = 3769.12, 平均测试吞吐量 = 0.67, 平均测试吞吐量 = 1570.47
nitrosketch: 平均测试周期数 = 3666.38, 平均测试吞吐量 = 0.63, 平均测试吞吐量 = 1527.66
res_64.txt
CBF: 平均测试周期数 = 2122.25, 平均测试吞吐量 = 1.04, 平均测试吞吐量 = 884.27
CM: 平均测试周期数 = 3736.88, 平均测试吞吐量 = 0.44, 平均测试吞吐量 = 1557.03
CS: 平均测试周期数 = 4481.62, 平均测试吞吐量 = 0.35, 平均测试吞吐量 = 1867.34
SlidingSketch: 平均测试周期数 = 6401.75, 平均测试吞吐量 = 0.22, 平均测试吞吐量 = 2667.40
UnivMon: 平均测试周期数 = 14733.12, 平均测试吞吐量 = 0.09, 平均测试吞吐量 = 6138.80
elastic: 平均测试周期数 = 2006.62, 平均测试吞吐量 = 1.13, 平均测试吞吐量 = 836.09
flowradar: 平均测试周期数 = 3184.75, 平均测试吞吐量 = 0.55, 平均测试吞吐量 = 1326.98
mvsketch: 平均测试周期数 = 3202.12, 平均测试吞吐量 = 0.55, 平均测试吞吐量 = 1334.22
nitrosketch: 平均测试周期数 = 3299.75, 平均测试吞吐量 = 0.52, 平均测试吞吐量 = 1374.90
res_1024.txt
CBF: 平均测试周期数 = 2326.62, 平均测试吞吐量 = 14.97, 平均测试吞吐量 = 969.43
CM: 平均测试周期数 = 3989.75, 平均测试吞吐量 = 6.58, 平均测试吞吐量 = 1662.40
CS: 平均测试周期数 = 4712.00, 平均测试吞吐量 = 5.27, 平均测试吞吐量 = 1963.33
SlidingSketch: 平均测试周期数 = 6686.38, 平均测试吞吐量 = 3.45, 平均测试吞吐量 = 2785.99
UnivMon: 平均测试周期数 = 14804.75, 平均测试吞吐量 = 1.42, 平均测试吞吐量 = 6168.65
elastic: 平均测试周期数 = 2337.38, 平均测试吞吐量 = 14.72, 平均测试吞吐量 = 973.91
flowradar: 平均测试周期数 = 3224.75, 平均测试吞吐量 = 8.75, 平均测试吞吐量 = 1343.65
mvsketch: 平均测试周期数 = 3412.12, 平均测试吞吐量 = 8.25, 平均测试吞吐量 = 1421.72
nitrosketch: 平均测试周期数 = 3476.00, 平均测试吞吐量 = 7.96, 平均测试吞吐量 = 1448.33
res_2.txt
CBF: 平均测试周期数 = 4126.25, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 1719.27
CM: 平均测试周期数 = 5307.50, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 2211.46
CS: 平均测试周期数 = 5827.00, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 2427.92
